Area,Natural change,Other changes,Overseas net migration,Rest of UK net migration,Within Scotland net migration,Population change
Scotland,"-7,663",63,10900,10000,0,13300
Aberdeen City,72,8,1180,-650,-1850,-1240
Aberdeenshire,208,62,-40,-250,-310,-330
Angus,-411,-29,-50,40,210,-240
Argyll and Bute,-478,8,-130,610,-560,-550
City of Edinburgh,514,156,4310,2810,-2490,5290
Clackmannanshire,-45,25,-20,50,-60,-50
Dumfries and Galloway,-790,0,-180,800,-230,-410
Dundee City,-322,12,570,250,-460,40
East Ayrshire,-327,-3,-100,130,200,-100
East Dunbartonshire,-174,4,-140,20,490,200
East Lothian,-201,1,170,110,870,950
East Renfrewshire,-116,6,-80,-30,630,410
Falkirk,-201,-19,20,80,330,210
Fife,-689,-51,270,530,450,500
Glasgow City,41,-11,5310,1680,-1620,5390
Highland,-579,-31,30,1000,-60,360
Inverclyde,-418,-12,-60,80,-200,-610
Midlothian,181,-21,40,-10,1050,1250
Moray,-194,-116,-120,210,-40,-260
Na h-Eileanan Siar,-143,3,-20,120,-80,-120
North Ayrshire,-571,11,-110,220,-50,-510
North Lanarkshire,-363,33,-150,220,480,220
Orkney Islands,-70,10,-10,230,30,190
Perth and Kinross,-514,44,150,290,220,190
Renfrewshire,-401,21,180,10,1150,960
Scottish Borders,-418,-12,-130,420,390,250
Shetland Islands,-12,2,-10,70,-130,-90
South Ayrshire,-626,-4,-50,260,280,-130
South Lanarkshire,-466,16,-220,210,1310,850
Stirling,-131,-49,160,340,0,330
West Dunbartonshire,-262,-8,-60,0,-150,-480
West Lothian,243,7,220,140,230,830
